ID,Paper (Author_Year),Definition (first 100 chars),Elements (key),Stakeholders (brief),Decision-Making (Y/N/Brief),Temporality (Y/N/What),Megaproject Coverage (Full/Partial/No),Temporal Misalignment (Y/N),Relevance to Electoral-Project Misalignment,Key Gaps
1,Marrewijk et al._2008,No project-governance definition. PPP = 'structural cooperation between public and private parties t,project design (scope + financial-risk allocation); project cultures,Public + private partners; politicians. Environ: EUR800m overrun -> parliamentary inquiry...,Yes,Brief - Decade-long PPP phases; political interference framed as dis,Full,No,Medium,Rejects Flyvbjerg 'deception' thesis; explains outcomes via design/culture. Establishes design x culture lens the RQ can
2,Müller_2009,No one-sentence definition; governance of PM = balancing Education / Management Demand / Perceived E,three-step capability model; PMOs,Sponsor + PMO members; core is the agency problem (weak sponsor vs project...,Yes,Yes - Pressure 'reduces the time horizon view of the project manag,No,No,Low,Extend horizon-compression logic to electoral pressure.
3,Sanderson_2012,Governance = 'forms of organization designed ex ante'; governing = 'spontaneous micro-processes... e,"three explanation-types (rent-seeking / misaligned governance / diverse cultures, Table 3); contracts","Politicians, contractors, sponsors, participants. Resolution differs per...",Yes,Yes - Ex-ante/ex-post is temporal (p. 436); promoters 'often not i,Full,Yes,High,Governing-vs-governance is the dynamic lens; electoral timing named but not modelled.
4,Araral et al._2013,Polycentric governance = 'multiple independent actors mutually order their relationships... under a ,multi-level/multi-purpose units; bounded autonomy,"Govt + private + civil society coordinate 'around the agenda, not a hegemonic body';...",Yes,"Brief - 'polycentricity as a dynamic process, not an event'; path de",Partial,No,Medium,Strongest 'coordination across levels' treatment; no electoral clock.
5,Ahola et al._2014,Two streams: external to / internal to a project; 'there is clearly a lack of a shared and universal,narrow (contract type) -> broad (principles/documentation/communication); TCE + agency origins,External: project-based firm vs project (agency). Internal: multiple firms with...,Yes,Yes - Governance as 'continuous... process' vs 'relatively static ,Partial,No,Medium,Frames the static-vs-dynamic governance question the RQ inherits.
6,Biesenthal et al._2014,"Turner (2009, p. 311): governance 'provides the structure through which the objectives... are set, a","structure, process and role; multi-level (project/PMO/parent)","Sponsor, owner, principal/agent, steward; theory-dependent...",Yes,Brief - Short vs long horizons; life cycle. No external clock.,Partial,No,Low,Provides the multi-level scaffolding on which cross-level electoral effects act.
7,Joslin et al._2016,"Project governance = 'the use of systems, structures of authority, and processes to allocate resourc",governance paradigms: shareholder-stakeholder orientation x behavior-outcome control (Müller & Lecoeuvre 2014); agency vs stewardship theory,Parent organization over project; more shareholder- vs more stakeholder-oriented....,Yes,No - Cross-sectional; success related to stakeholder orientation ,No,No,Low,Cements the shareholder<->stakeholder and behavior<->outcome axes and the stewardship result - but static. RQ can ask ho
8,Menga_2018,No PG definition. Megaproject = 'very large infrastructure investments... more than US$1 billion' (p,megaproject ideology (progress/inevitable/national symbols); discourse,Political elites decide & legitimate via discourse; civil society opposes. Regime type...,Brief,"Yes - 'power has changed hands repeatedly in Italy, while Tajikist",Full,Yes,High,"Demonstrates electoral alternation effect but through ideology, not governance machinery."
9,Biesenthal et al._2018,"No explicit definition - institutional theory. Megaproject via Flyvbjerg (2014, p. 6).",Scott's three pillars; institutional logics/entrepreneurs,'widely disparate actors... conflicting interests'; cognitive conflicts hardest (p. 47);...,Brief,Yes - Duration 'extending beyond the political life cycle of a nat,Full,Yes,Medium,Names the tension the thesis formalises; no model.
10,Dille et al._2018,No PG definition. Temporal conditioning = 'the process of responding to and coping with institutiona,"time-reckoning systems; timing norms (sequence, duration, rhythm, frequency)",Three emergency services (Health/Fire/Police) with divergent time horizons; DNK project...,Yes,Yes - Divergent institutional time-reckoning systems; 'significant,Full,Yes,High,"Reusable to classify megaproject responses to electoral-temporal misfit; its external gate is one-off, not cyclical."
